"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"JUN",0,2.78514474389602,0.953,0.609,0
"FOS",0,2.6180888667142,0.843,0.459,0
"EGR1",0,2.27744499658095,0.827,0.313,0
"ATF3",0,2.24777061964067,0.877,0.331,0
"JUNB",0,1.97088620438955,0.899,0.663,0
"GADD45B",0,1.92104125732309,0.72,0.423,0
"IER2",0,1.88242169361821,0.806,0.625,0
"ZFP36",0,1.86471330757214,0.93,0.655,0
"DNAJB1",0,1.81462475826555,0.91,0.467,0
"RHOB",0,1.70021664456101,0.72,0.179,0
"NR4A1",0,1.63532584305745,0.727,0.208,0
"UBC",0,1.6303655140661,0.991,0.936,0
